Subject,Topic,Difficulty,Marks,Question,Correct_Answer,Option1,Option2,Option3
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"When was Chapter 1 of the Source Engine mod ""Underhell"" released?","September 1st, 2013","March 3rd, 2011","September 12th, 2013","October 2nd, 2012"
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"Which day in ""Papers, Please"" does the man in red appear?",Day 23,Day 20,Day 17,Day 15
Geography,Geography,Easy,1,What is the largest hot desert in the world?,Sahara,Gobi,Mojave,Kalahari
General Knowledge,General Knowledge,Easy,1,Which one of these is not a typical European sword design?,Scimitar,Falchion,Ulfberht,Flamberge
Animals,Animals,Medium,1,What is the fastest animal?,Peregrine Falcon,Golden Eagle,Cheetah,Horsefly
General Knowledge,General Knowledge,Easy,1,"Virgin Trains, Virgin Atlantic and Virgin Racing, are all companies owned by which famous entrepreneur?   ",Richard Branson,Alan Sugar,Donald Trump,Bill Gates
Entertainment: Comics,Entertainment: Comics,Easy,1,What is the full first name of the babysitter in Calvin and Hobbes?,Rosalyn,Rose,Ruby,Rachel
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"In Diablo lore, this lesser evil spawned from one of the seven heads of Tathamet, and was known as the Maiden of Anguish.",Andariel,Valla,Malthael,Kashya
Entertainment: Video Games,Entertainment: Video Games,Easy,1,What ingredients are required to make a cake in Minecraft?,"Milk, Sugar, Egg, and Wheat","Milk, Bread, Egg, and Wheat","Milk, Sugar Cane, Egg, and Wheat","Milk, Sugar, and Wheat"
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Medium,1,"What is the name of the infamous pachinko machine from ""Kaiji""?",The Bog,The Devil,The Undefeated,The Dragon
Science: Computers,Science: Computers,Easy,1,What does the computer software acronym JVM stand for?,Java Virtual Machine,Java Vendor Machine,Java Visual Machine,Just Virtual Machine
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"Who is the victim mentioned in the second KG-8 incident, in Ace attorney Investigations, Case 4?",Deid Mann,Frank Sahwit,Shey De Killer,Raymond Shields
General Knowledge,General Knowledge,Easy,1,What do sailors call the back of a boat?,Stern,Bow,Starboard,Port
Entertainment: Music,Entertainment: Music,Medium,1,Grand Theft Autumn/Where Is Your Boy is a song by which band?,Fall Out Boy,Panic! At The Disco,Paramore,Blink-182
History,History,Medium,1,"When did O, Canada officially become the national anthem?",1980,1950,1920,1880
Entertainment: Books,Entertainment: Books,Medium,1,How many books are in the Chronicles of Narnia series?,7,6,8,5
Geography,Geography,Easy,1,What is the capital of India?,New Delhi,Beijing,Montreal,Tithi
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"In the game Danganronpa: Happy Trigger Havoc, the character Aoi Asahina's ultimate ability is what?",Ultimate Swimmer,Ultimate Detective,Ultimate Gambler,Ultimate Dancer
Sports,Sports,Medium,1,Which NBA player won Most Valuable Player for the 1999-2000 season?,Shaquille O'Neal,Allen Iverson,Kobe Bryant,Paul Pierce
Entertainment: Television,Entertainment: Television,Easy,1,"In the original Star Trek TV series, what was Captain James T. Kirk's middle name?",Tiberius,Trevor,Travis,Tyrone
Geography,Geography,Medium,1,What is the largest lake in the African continent?,Lake Victoria,Lake Tanganyika,Lake Malawi,Lake Turkana
General Knowledge,General Knowledge,Medium,1,What alcoholic drink is mainly made from juniper berries?,Gin,Vodka,Rum,Tequila
Entertainment: Music,Entertainment: Music,Medium,1,"What year was Red Hot Chill Pepper's album ""Californication"" released?",1999,1997,2000,1992
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"When was the video game ""P.A.M.E.L.A."" released on Steam?","March 9, 2017","January 7, 2007","October 23, 1997","February 16, 2015"
History,History,Hard,1,What did the first vending machines in the early 1880's dispense?,Post cards,Alcohol,Cigarettes,Sodas 
Sports,Sports,Medium,1,Who won the 2018 Monaco Grand Prix?,Daniel Ricciardo,Sebastian Vettel,Kimi Raikkonen,Lewis Hamilton
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"In ""Super Mario Sunshine"", how do you unlock the ""Corona Mountain"" level?",By clearing every 7th episode,By obtaining 70 Shines,"By clearing every episode involving a ""Secret""",By unlocking every nozzle F.L.U.D.D can use
Entertainment: Film,Entertainment: Film,Easy,1,Which year was the first official Youtube Rewind released?,2010,2012,2011,2013
Science &amp; Nature,Science &amp; Nature,Medium,1,What are the smallest blood vessels in the human body?,Capillaries,Arterioles,Veinules,Lymphatics
Animals,Animals,Easy,1,What is the scientific name for modern day humans?,Homo Sapiens,Homo Ergaster,Homo Erectus,Homo Neanderthalensis
Geography,Geography,Hard,1,The Andaman and Nicobar Islands in South East Asia are controlled by which country?,India,Vietnam,Thailand,Indonesia
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Easy,1,What is Gatomon's name in the original Japanese version of Digimon Adventure?,Tailmon,Pawmon,Catmon,Nekomon
History,History,Medium,1,How old was Lyndon B. Johnson when he assumed the role of President of the United States?,55,50,60,54
Entertainment: Film,Entertainment: Film,Medium,1,"In the movie “The Iron Giant,” this character is the protagonist.",Hogarth Hughes,Kent Mansley,Dean McCoppin,Annie Hughes
Science: Mathematics,Science: Mathematics,Easy,1,How many sides does a heptagon have?,7,8,6,5
History,History,Hard,1,"Who is the creator of the soft drink, Dr. Pepper?",Charles Alderton,James Wellington,Johnson Hinsin,Boris Heviltik
Entertainment: Music,Entertainment: Music,Medium,1,"""The Genius"" is the original and secondary name of which Wu-Tang Clan member?",GZA,Ghostface Killah,Ol' Dirty Bastard,Raekwon the Chef
Animals,Animals,Medium,1,What is the name of the family that the domestic cat is a member of?,Felidae,Felinae,Felis,Cat
Entertainment: Music,Entertainment: Music,Medium,1,"The song ""Twin Size Mattress"" was written by which band?",The Front Bottoms,Twenty One Pilots,The Wonder Years,The Smith Street Band
History,History,Medium,1,The creator of the Enigma Cypher and Machine was of what nationality?,German,American,British,Polish
Entertainment: Video Games,Entertainment: Video Games,Hard,1,Which was the first M-rated video game developed by Squaresoft/Square Enix?,Parasite Eve,Final Fantasy VIII,Front Mission,Vagrant Story
Science: Computers,Science: Computers,Easy,1,"According to the International System of Units, how many bytes are in a kilobyte of RAM?",1000,512,1024,500
Entertainment: Video Games,Entertainment: Video Games,Easy,1,In which year was League of Legends released?,2009,2010,2003,2001
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"In the video game ""League of Legends"" which character is known as ""The Sinister Blade""?",Katarina,Shaco,Akali,Zed
General Knowledge,General Knowledge,Easy,1,What technology is named after a tenth-century ruler of Denmark and Norway?,Bluetooth,Wi-Fi,GPS,Internet
Art,Art,Easy,1,Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Claude Monet,Vincent van Gogh
Entertainment: Video Games,Entertainment: Video Games,Easy,1,"When was ""Luigi's Mansion 3"" released?","October 31st, 2019","January 13th, 2019","September 6th, 2018","October 1st, 2019"
Entertainment: Music,Entertainment: Music,Medium,1,Which of these is not a member of the virtual band Gorillaz?,Phi Cypher,Murdoc Niccals,Noodle,Russel Hobbs
Science: Computers,Science: Computers,Easy,1,Which SQL keyword is used to fetch data from a database?,SELECT,INDEX,VALUES,EXEC
Entertainment: Video Games,Entertainment: Video Games,Medium,1,What was the first Call of Duty game to include the Zombies gamemode?,Call of Duty: World at War,Call of Duty: Black Ops,Call of Duty: Modern Warfare 2,Call of Duty: Black Ops III
Celebrities,Celebrities,Easy,1,What was James Coburn's last film role before his death?,American Gun,Monsters Inc,Texas Rangers,Snow Dogs
Entertainment: Music,Entertainment: Music,Easy,1,"Which former boy-band star released hit solo single ""Angels"" in 1997?",Robbie Williams,Justin Timberlake,Harry Styles,Gary Barlow
Entertainment: Film,Entertainment: Film,Hard,1,"What was the name of the actor who played Leatherface in the 1974 horror film, The Texas Chainsaw Massacre?",Gunnar Hansen,Edwin Neal,John Dugan,Joe Bill Hogan
Geography,Geography,Medium,1,What is the northernmost human settlement with year round inhabitants?,"Alert, Canada","Nagurskoye, Russia","McMurdo Station, Antarctica ","Honningsvåg, Norway"
Entertainment: Video Games,Entertainment: Video Games,Medium,1,The first version of Blockland came out in which year?,2004,2007,2008,2006
Science: Mathematics,Science: Mathematics,Hard,1,Which of the following famous mathematicians died in a duel at the age of 20?,Galois,Abel,Euler,Gauss
History,History,Medium,1,What were the first states to break away from Yugoslavia?,"Slovenia, Croatia","Macedonia, Montenegro","Slovenia, Macedonia","Montenegro, Slovenia"
Entertainment: Board Games,Entertainment: Board Games,Medium,1,Who is the main character in the VHS tape included in the board game Nightmare?,The Gatekeeper,The Kryptkeeper,The Monster,The Nightmare
Entertainment: Video Games,Entertainment: Video Games,Medium,1,What numbers did Sayaka Maizono write on the wall in Dangan Ronpa Trigger Happy Havoc?,11037,"4, 8, 15, 16, 23, 42",55730,"3, 9, 11, 12, 15, 17,"
Entertainment: Board Games,Entertainment: Board Games,Hard,1,What do you declare in Rīchi Mahjong when you've drawn your winning tile?,Tsumo,Ron,Rīchi,Kan
History,History,Medium,1,"In World War I, what was the name of the alliance of Germany, Austria-Hungary, the Ottoman Empire, and Bulgaria?",The Central Powers,The Axis Powers,The Federation of Empires,Authoritarian Alliance
Geography,Geography,Medium,1,What was the African nation of Zimbabwe formerly known as?,Rhodesia,Zambia,Mozambique, Bulawayo
History,History,Hard,1,Which one of these rulers did not belong to the Habsburg dynasty?,Philip V,Charles V,Philip II,Francis Joseph
Entertainment: Video Games,Entertainment: Video Games,Easy,1,"In ""Fallout 4"" which faction is not present in the game?",The Enclave,The Minutemen,The Brotherhood of Steel,The Institute
Science &amp; Nature,Science &amp; Nature,Hard,1,"Which of the following is the term for ""surgical complications resulting from surgical sponges left inside the patient's body?",Gossypiboma,Gongoozler,Jentacular,Meupareunia
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"In Grand Theft Auto: V, what wanted level does the player receive if they enter Zancudo Army Base north of Los Santos?",4,3,5,1
Entertainment: Cartoon &amp; Animations,Entertainment: Cartoon &amp; Animations,Medium,1,"Bugs Bunny, Tony the Tiger, and other bipedal animal characters are known as what type of character?",Anthropomorphic,Anthropolegic ,Anthrologic,Anthrogenetic
Science &amp; Nature,Science &amp; Nature,Easy,1,What is the atomic mass of Carbon?,12,14,16,10
Entertainment: Video Games,Entertainment: Video Games,Hard,1,The Bracken from Lethal Company is also known as:,The Flower Man,The Phantom,The Shadow Demon,Larry
Geography,Geography,Medium,1,"Where is the ""Sonoran Desert"" located?",North America,South America,Asia,Africa
Entertainment: Music,Entertainment: Music,Easy,1,Which singer was featured in Jack Ü (Skrillex & Diplo)'s 2015 song 'Where Are Ü Now'?,Justin Bieber,Selena Gomez,Ellie Goulding,The Weeknd
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Medium,1,"In the ""Sailor Moon"" series, what is Sailor Jupiter's civilian name?",Makoto Kino,Minako Aino,Usagi Tsukino,Rei Hino
Entertainment: Music,Entertainment: Music,Medium,1,"""Make You Feel My Love"" was originally written and performed by which singer-songwriter?",Bob Dylan,Elvis,Adele,Billy Joel
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"How many different notes is the tune, ""Song of Healing"", comprised of in ""The Legend of Zelda: Majora's Mask""?",3,4,1,6
Entertainment: Film,Entertainment: Film,Medium,1,What is the name of the queen's pet in A Bug's Life?,Aphie,Flik,Hopper,Dot
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"What military rank is the protagonist ""Nomad"" in ""Crysis""?",First Lieutenant,Captain,First Sargent ,Staff Sargent
Entertainment: Video Games,Entertainment: Video Games,Easy,1,"What is the name of the world that the MMO ""RuneScape"" takes place in?",Gielinor,Glindor,Azeroth,Zaros
Politics,Politics,Medium,1,Who was the 40th President of the USA?,Ronald Reagan,Jimmy Carter,Bill Clinton,Richard Nixon
General Knowledge,General Knowledge,Easy,1,What do the letters in the GMT time zone stand for?,Greenwich Mean Time,Global Meridian Time,General Median Time,Glasgow Man Time
Science: Computers,Science: Computers,Hard,1,What internet protocol was documented in RFC 1459?,IRC,HTTP,HTTPS,FTP
Geography,Geography,Medium,1,Kuala Lumpur is the capital of which country?,Malaysia,Indonesia,Singapore,Thailand
Entertainment: Books,Entertainment: Books,Easy,1,"George Orwell wrote this book, which is often considered a statement on government oversight.",1984,The Old Man and the Sea,Catcher and the Rye,To Kill a Mockingbird
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"What CoD ""Deathstreak"" is only featured in Call of Duty : Modern Warfare 2?",Copycat, Martrydom,Final Stand,Revenge
Entertainment: Film,Entertainment: Film,Easy,1,Which of the following movies was not based on a novel by Stephen King? ,The Thing,Carrie,Misery,The Green Mile
Entertainment: Video Games,Entertainment: Video Games,Easy,1,Who is the main antagonist in the Portal franchise?,GLaDOS,Chell,Wheatley,Rick
Entertainment: Television,Entertainment: Television,Medium,1,What is the name of the race horse that Tony Soprano becomes attached to?,Pie-O-My,Man o' war,Bada Bing,Honest Earnings
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"Which gaming series includes ""The Diabolical Box"" and ""The Curious Village""?",Professor Layton,Persona,Etrian Odyssey,Sam & Max
Entertainment: Video Games,Entertainment: Video Games,Easy,1,"In the game Half-Life, which enemy is showcased as the final boss?",The Nihilanth,Dr. Wallace Breen,G-Man,The Gonarch
Entertainment: Video Games,Entertainment: Video Games,Hard,1,Where are Terror Fiends more commonly found in the Nintendo game Miitopia?,New Lumos,Peculia,The Sky Scraper,Otherworld
Entertainment: Video Games,Entertainment: Video Games,Hard,1,When was Steam first released?,2003,2004,2011,2007
Celebrities,Celebrities,Hard,1,How tall is Tom Cruise?,5′ 7″,5′ 9″,5′ 4″,5′ 5″
Entertainment: Music,Entertainment: Music,Easy,1,What was the best selling album of 2015?,"Adele, 25","Fetty Wap, Fetty Wap","Taylor Swift, 1989","Justin Bieber, Purpose"
General Knowledge,General Knowledge,Medium,1,This field is sometimes known as “The Dismal Science.”,Economics,Philosophy,Politics,Physics
Sports,Sports,Medium,1,Which of the following player scored a hat-trick during their Manchester United debut?,Wayne Rooney,Cristiano Ronaldo,Robin Van Persie,David Beckham
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"In the ""Pikmin"" series, what is the only pikmin type to possess visible ears?",Yellow,Red,White,Winged
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"In World of Warcraft, which raid instance features a chess event?",Karazhan,Zul'Aman,Blackwing Lair,Temple of Ahn'Qiraj
Science: Computers,Science: Computers,Hard,1,America Online (AOL) started out as which of these online service providers?,Quantum Link,CompuServe,Prodigy,GEnie
History,History,Hard,1,List the following Iranic empires in chronological order:,"Median, Achaemenid, Parthian, Sassanid","Median, Achaemenid, Sassanid, Parthian","Achaemenid, Median, Parthian, Sassanid","Achaemenid, Median, Sassanid, Parthian"
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Medium,1,The main protagonist of the fifth part of JoJo's Bizarre Adventure is which of the following?,Giorno Giovanna,Guido Mista,Jonathan Joestar,Joey JoJo
Entertainment: Music,Entertainment: Music,Medium,1,What was the title of ABBA`s first UK hit single?,Waterloo,Mamma Mia,Fernando,Dancing Queen
Entertainment: Music,Entertainment: Music,Medium,1,Who is the primary lyricist for Canadian progressive rock band Rush?,Neil Peart,Geddy Lee,Alex Lifeson,John Rutsey
Science: Computers,Science: Computers,Hard,1,Which of the following physical typologies are used with Ethernet Networks?,Star,Ring,Mesh,Hex
Entertainment: Video Games,Entertainment: Video Games,Medium,1,Final Fantasy VI was originally released outside Japan under what name?,Final Fantasy III,Final Fantasy VI,Final Fantasy V,Final Fantasy II
Entertainment: Video Games,Entertainment: Video Games,Easy,1,"In the first game of the Sly Cooper franchise, what family heirloom did Sly Cooper want to steal back?",Thievius Raccoonus,Raccoon Training 101,The Art of Sneak,Raccoonus Teachus
Entertainment: Board Games,Entertainment: Board Games,Hard,1,"Which card is on the cover of the Beta rulebook of ""Magic: The Gathering""?",Bog Wraith,Island,Rock Hydra,Elvish Archers
History,History,Medium,1,Which of the following countries was the first to send an object into space?,Germany,USA,Russia,China
Mythology,Mythology,Medium,1,"The Maori hold that which island nation was founded by Kupe, who discovered it under a long white cloud?",New Zealand,Vanuatu,Fiji,Hawaii
Entertainment: Video Games,Entertainment: Video Games,Easy,1,What is Pikachu's National PokéDex Number?,#025,#001,#031,#109
Geography,Geography,Medium,1,"Colchester Overpass, otherwise known as ""Bunny Man Bridge"", is located where?","Fairfax County, Virginia","Medford, Oregon","Braxton County, Virgina","Lemon Grove, California"
Entertainment: Television,Entertainment: Television,Medium,1,"Who co-founded the YouTube Let's Play channel ""Game Grumps"" alongside Newgrounds animator Egoraptor?",JonTron,Pewdiepie,Tobuscus,Markiplier
History,History,Hard,1,Which naval battle was considered the turning point of the Pacific Ocean Theater during World War 2?,Battle of Midway,Attack on Truk Island,Attack on Pearl Harbor,Battle of the Coral Sea
Science: Computers,Science: Computers,Hard,1,"Australia, Japan, and Southeast Asia are in which ITU Region?",Region 3,Region 1,Region 2,Region 4
Mythology,Mythology,Medium,1,"Which greek god/goddess tossed a golden apple with the words ""for the fairest"" into the middle of the feast of the gods?",Eris,Hades,Ares,Artemis
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Medium,1,When was the first episode of Soul Eater released?,2008,2003,2005,2011
General Knowledge,General Knowledge,Medium,1,"Which of these is the name of a Japanese system of alternative medicine, literally meaning ""finger pressure""?",Shiatsu,Ukiyo,Majime,Ikigai
Entertainment: Music,Entertainment: Music,Medium,1,"Which Toronto landmark was featured on the cover art of Canadian rapper Drake's 2016 album ""Views""?",CN Tower,Allan Gardens,Union Station,Prince of Wales Theatre
Entertainment: Television,Entertainment: Television,Medium,1,"Dee from ""It's Always Sunny in Philadelphia"" has dated all of the following guys EXCEPT","Matthew ""Rickety Cricket"" Mara",Colin the Thief,Ben the Soldier,Kevin Gallagher aka Lil' Kevin
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"In the original ""Super Mario Bros."", what is the acceleration of Mario if he was in free fall?",91.28 m/s^2,110  m/s^2,9.42  m/s^2,4.4  m/s^2
Vehicles,Vehicles,Hard,1,What car manufacturer gave away their patent for the seat-belt in the interest of saving lives?,Volvo,Ferrari,Ford,Renault
General Knowledge,General Knowledge,Easy,1,Which of these holidays is NOT usually celebrated in the month of December?,Thanksgiving,Christmas,Kwanzaa,Hanukkah
Entertainment: Music,Entertainment: Music,Hard,1,When did the rapper Eazy-E die?,"March 26, 1995","July 11, 1992","February 14, 1993","October 21, 1994"
